,Rank,Title,Lifetime Gross,Year,inflation_adjusted_gross
580,581,Mr. Peabody & Sherman,275698039,2014,275698039.0
581,582,Scooby-Doo,275678613,2002,351829657.99400777
582,583,Lincoln,275293450,2012,275293450.0
583,584,Lara Croft: Tomb Raider,274703340,2001,356127829.7230943
584,585,Tomb Raider,274650803,2018,274650803.0
585,586,The Expendables,274470394,2010,288993449.57275194
586,587,Cloudy with a Chance of Meatballs 2,274325949,2013,274325949.0
587,588,The Nutty Professor,273961019,1996,400891052.8762651
588,589,Jerry Maguire,273552592,1996,400293395.84224343
589,590,Bad Boys II,273339556,2003,341071315.32752174
590,591,Lilo & Stitch,273144151,2002,348595098.41408557
591,592,The Silence of the Lambs,272742922,1991,459766067.79491925
592,593,Creed III,271957431,2023,271957431.0
593,594,Grown Ups,271457301,2010,285820924.7431577
594,595,Neighbors,270665134,2014,270665134.0
595,596,The Firm,270248367,1993,429393796.3529273
596,597,We're the Millers,269994119,2012,269994119.0
597,598,Gran Torino,269958228,2008,287877035.61693054
598,599,"10,000 BC",269784201,2008,287691457.3619225
599,600,American Gangster,269755430,2007,298705656.33311146
